date,close
2018-07-12,6548.12
2018-10-17,6491.56
2017-03-04,1212.38
2017-08-22,4054.46
2018-01-22,11171.44
2017-08-03,2690.48
2018-03-27,8613.68
2017-07-21,2667.73
2018-09-24,6502.55
2016-12-05,770.57
2017-12-18,17048.3
2017-04-05,1187.19
2016-06-03,565.62
2018-05-17,7868.6
2018-08-12,6585.09
2016-06-16,738.31
2018-07-25,8146.31
2017-11-19,8164.37
2016-12-27,933.16
2018-03-26,8494.67
2016-11-15,720.24
2017-06-28,2608.23
2017-06-21,2603.11
2016-11-01,714.76
2017-05-05,1520.96
2018-07-06,6541.38
2016-05-30,519.46
2018-02-27,11007.43
2016-06-10,600.64
2018-01-16,11259.97
2018-02-14,10926.61
2018-07-01,6601.02
2017-07-08,2625.62
2016-09-04,600.04
2016-05-09,454.59
2016-09-10,608.7
2018-08-09,6440.38
2017-02-08,1034.04
2018-06-11,6851.79
2017-12-31,15116.4
2018-11-27,4027.84
2017-11-12,6296.63
2018-01-14,13752.45
2016-08-02,624.63
2017-12-06,15762.96
2018-05-03,9245.81
2018-09-07,6522.51
2017-03-21,1079.12
2017-04-06,1180.82
2018-03-24,8554.59
2016-09-30,610.9
2017-01-18,879.62
2017-08-15,4339.72
2016-05-18,448.34
2016-10-30,675.57
2017-02-11,997.31
2016-10-27,697.77
2018-04-17,8560.8
2016-08-27,583.63
2017-06-18,2622.34
2016-11-30,752.73
2016-11-02,699.43
2016-08-29,582.46
2018-09-15,6467.78
2018-01-20,14420.14
2018-06-24,6506.35
2018-11-28,4038.79
2016-11-03,702.93
2016-11-10,717.54
2018-06-19,6567.04
2018-10-18,6558.34
2018-05-10,8609.75
2017-11-13,7687.76
2018-10-28,6443.78
2017-11-24,7937.02
2018-11-07,6248.28
2018-03-20,8498.74
2018-09-26,6516.73
2016-05-20,449.48
2017-10-26,6924.57
2017-01-09,864.14
2016-09-14,608.6
2017-10-28,5709.74
2017-02-26,1155.85
2017-03-07,1254.43
2017-07-10,2584.46
2017-12-22,16917.84
2017-06-15,2453.63
2017-07-25,2508.31
2016-08-20,580.86
2016-12-13,788.79
2017-09-15,3729.5
2018-11-18,5214.03
2017-05-31,2375.36
2016-09-08,609.41
2017-10-27,5704.76
2018-07-09,6477.02
2017-01-19,915.06
2017-09-29,4258.8
2018-04-19,8710.67
2017-08-26,4283.29
2017-01-03,947.16
2017-09-13,4213.94
2018-04-11,7215.69
2017-12-30,15381.03
2016-04-27,455.62
2016-07-27,666.8
2017-04-09,1166.75
2017-04-08,1055.8
2017-04-29,1403.31
2016-06-15,729.84
2017-06-06,2734.87
2016-05-15,453.31
2016-11-18,738.29
2018-07-14,6467.38
2017-12-17,16897.31
2017-12-04,10908.17
2018-08-31,7144.88
2018-07-20,7733.24
2016-04-24,453.68
2017-08-16,4077.87
2016-06-13,663.26
2017-10-25,6673.16
2018-08-23,6483.58
2017-12-02,11188.0
2018-04-07,8339.01
2017-11-14,7592.99
2017-03-23,1060.06
2017-12-08,16856.97
2018-05-09,8859.82
2018-09-22,6540.69
2016-09-21,606.28
